date,index_code,open,close,low,high,volume,money,change
20020107,sh000300,1316.46,1302.08,1316.46,1316.46,159786501.0,1546093181.0,-0.0109164384654
20020108,sh000300,1302.08,1292.71,1302.08,1302.08,148845675.0,1476277651.0,-0.00719615631557
20020109,sh000300,1292.71,1272.65,1292.71,1292.71,217248261.0,2051945748.0,-0.015524702293
20020110,sh000300,1272.65,1281.26,1272.65,1272.65,311819431.0,3001996732.0,0.006770151927680001
20020111,sh000300,1281.26,1249.81,1281.26,1281.26,190665090.0,1851079658.0,-0.0245437892826
20020114,sh000300,1249.81,1205.15,1249.81,1249.81,323422076.0,2976373440.0,-0.03573971807
20020115,sh000300,1205.15,1186.43,1205.15,1205.15,296963230.0,2669026806.0,-0.015527579231100003
20020116,sh000300,1186.43,1201.88,1186.43,1186.43,324626115.0,2775031985.0,0.013017169954
20020117,sh000300,1201.88,1152.15,1201.88,1201.88,306529408.0,2530117376.0,-0.0413761141947
20020118,sh000300,1152.15,1149.48,1152.15,1152.15,451102628.0,3809126096.0,-0.0023130708902
20020121,sh000300,1149.48,1108.61,1149.48,1149.48,349811144.0,2764647600.0,-0.0355577246466
20020122,sh000300,1108.61,1109.99,1108.61,1108.61,402710047.0,3395465623.0,0.0012484101713
20020123,sh000300,1109.99,1183.15,1109.99,1109.99,545076670.0,4618075144.0,0.0659102661816
20020124,sh000300,1183.15,1189.58,1183.15,1183.15,774211011.0,6586593265.0,0.005433781232199999
20020125,sh000300,1189.58,1189.43,1189.58,1189.58,460957159.0,3912562040.0,-0.00013029775980299998
20020128,sh000300,1189.43,1112.84,1189.43,1189.43,625777899.0,5005094981.0,-0.0643948183497
20020129,sh000300,1112.84,1140.38,1112.84,1112.84,410568198.0,3364496081.0,0.0247494013039
20020130,sh000300,1140.38,1145.86,1140.38,1140.38,344244608.0,2706242937.0,0.00480367457429
20020131,sh000300,1145.86,1221.76,1145.86,1145.86,1101241593.0,10175311636.0,0.0662431110394
20020201,sh000300,1221.76,1215.74,1221.76,1221.76,754271612.0,7101857954.0,-0.00492486249345
20020204,sh000300,1215.74,1236.97,1215.74,1215.74,511469704.0,4553528923.0,0.0174592821016
20020205,sh000300,1236.97,1246.84,1236.97,1236.97,660595803.0,5378512378.0,0.007981606653040001
20020206,sh000300,1246.84,1216.79,1246.84,1246.84,534404147.0,4698380238.0,-0.0241040965896
20020207,sh000300,1216.79,1241.02,1216.79,1216.79,533072890.0,5007455563.0,0.0199171918198
20020208,sh000300,1241.02,1235.09,1241.02,1241.02,423178872.0,3975930485.0,-0.00477912174069
20020225,sh000300,1235.09,1254.61,1235.09,1235.09,520724092.0,4998890837.0,0.0158036810213
20020226,sh000300,1254.61,1253.12,1254.61,1254.61,443243327.0,4017187195.0,-0.0011876191106300002
20020227,sh000300,1253.12,1256.0,1253.12,1253.12,396211496.0,3508600787.0,0.00229506967005
20020228,sh000300,1256.0,1244.6,1256.0,1256.0,369982010.0,3373249070.0,-0.009071677718969998
20020301,sh000300,1244.6,1227.23,1244.6,1244.6,363476377.0,3305331761.0,-0.0139594714138
20020304,sh000300,1227.23,1245.87,1227.23,1227.23,326793554.0,3007394176.0,0.0151870596278
20020305,sh000300,1245.87,1275.61,1245.87,1245.87,799745677.0,7667025696.0,0.0238765454097
20020306,sh000300,1275.61,1288.44,1275.61,1275.61,1297769881.0,11811444471.0,0.0100579015282
20020307,sh000300,1288.44,1328.39,1288.44,1288.44,1312693463.0,11736568821.0,0.0310017354266
20020308,sh000300,1328.39,1351.85,1328.39,1328.39,1830370848.0,16825070998.0,0.017665019557499998
20020311,sh000300,1351.85,1377.04,1351.85,1351.85,1559376282.0,14624222561.0,0.0186284909465
20020312,sh000300,1377.04,1362.4,1377.04,1377.04,1700528764.0,16590520835.0,-0.0106264392315
20020313,sh000300,1362.4,1343.14,1362.4,1362.4,1238353057.0,12204042354.0,-0.0141411798556
